Year (date),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),AWC Infrastructure Drinking Water Source (awc_infra_dws),AWC Infrastructure Fuctional Toilets (awc_infra_fun_toilets),AWC Infrastructure Own Building (awc_infra_own_buil),Aadhaar verified Beneficiaries (aadhar_verf_benf),Adolescent Girls (adolescent_girls),Anganwadi Centers Open For Atleast 1 Day (awc_open_1day),Anganwadi Centers Open For Atleast 21 Days (awc_open_21day),Anganwadi Workers (aww),Angwanwadi Centers (awc),Children (0-6 Months) (children_0_6_months),Children (3 - 6 Years) (children_3_6_years),Children (6 Months - 3 Years) (children_6months_3years),Children Attended AWC For Atleast 21 days (children_awc_21days),Children(3 - 6 Years) Non-school Going (children_3_6_years_nonschool),Children(3 - 6 Years) School Going (children_3_6_years_school),Eligible Beneficiaries (elgb_benef),Health ID Created (health_id_created),Hot Cooked Meal (HCM) Given For 1-6 Days (hcm_1_6days),Hot Cooked Meal (HCM) Given For 15-20 Days (hcm_15_20days),Hot Cooked Meal (HCM) Given For 7-14 Days (hcm_7_14days),Hot Cooked Meal (HCM) Given For Atleast 1 Day (hcm_atleast_1day),Hot Cooked Meal (HCM) Given For Atleast 15 Days (hcm_atleast_15days),Hot Cooked Meal (HCM) Given For Atleast 21 Days (hcm_atleast_21days),Lactating Mothers (lact_mothers),Pregnant Women (pregnant_women),Project (project),Sector (sector),Take Home Ration Given For Atleast 1 Day (thm_atleast_1day),Take Home Ration Given For Atleast 21 Days (thm_atleast_21days)
01-04-2023,Himachal Pradesh,2,Kullu,20,965,1010,374,36593,0,1095,939,1093,1095,2386,16468,14068,2039,7156,9312,37970,238,1460,1507,1326,6210,3424,1917,2401,2647,5,45,17291,17248
01-03-2023,Gujarat,24,Junagadh,448,1397,1361,978,92710,0,1428,1320,1410,1428,6218,38914,35299,25115,38712,202,93710,3853,3422,5563,3665,37650,30563,25000,6265,7014,11,57,45721,45667
01-06-2023,Tripura,16,South Tripura,271,982,996,1269,32166,0,1296,1005,1315,1322,1487,18976,15210,6799,18205,771,39597,226,2723,4624,3073,17074,11278,6654,1543,2381,8,66,7756,7105
01-03-2023,Karnataka,29,Dharwad,536,723,800,574,122785,0,1499,418,1495,1505,3878,55979,57932,4883,55649,330,131546,1138,12676,9999,19393,46778,14709,4710,4946,8811,6,58,2241,2235
01-04-2023,Telangana,36,Narayanpet,721,231,153,129,44354,0,704,579,691,704,2035,19801,19660,6131,19621,180,47091,247,2879,3346,2167,14325,9279,5933,2236,3359,3,29,16612,15961
01-07-2023,Rajasthan,8,Tonk,116,181,244,406,100422,0,1474,1280,1473,0,4656,38112,49377,3439,34247,3865,108235,194,9800,3145,5722,21277,5755,2610,5581,10509,7,45,10630,10617
01-02-2023,Puducherry,34,Pondicherry,600,290,286,146,9757,0,491,160,629,661,1737,8353,16564,281,7245,1108,30891,84,541,250,325,1335,469,219,2113,2124,4,23,127,123
01-06-2023,Andaman And Nicobar Islands,35,North And Middle Andaman,632,230,203,138,3198,0,264,127,259,268,264,1080,2136,211,1044,36,3946,60,180,375,252,1013,581,206,233,233,2,9,821,780
01-05-2023,Gujarat,24,Botad,676,550,533,447,48206,0,569,563,569,569,2484,21230,20464,14266,21163,67,50383,466,1813,3414,3031,22517,17673,14259,2517,3688,6,23,25089,24653
01-06-2023,Madhya Pradesh,23,Jabalpur,411,653,745,876,164730,0,2483,2415,2465,2483,6586,85008,68841,37826,84681,327,180314,101,12631,14713,12445,76469,51393,36680,7453,12426,13,93,42407,22503
01-03-2023,Uttar Pradesh,9,Maharajganj,164,604,860,888,329127,0,3094,1914,3120,3156,14467,134713,140875,8564,132298,2415,333169,686,5466,599,1761,8138,911,312,18535,24579,13,113,100848,99431
01-03-2023,Ladakh,37,Leh Ladakh,9,278,284,210,5204,0,403,153,458,463,207,2957,2839,536,2796,161,6500,145,707,648,475,2308,1126,478,277,220,6,22,275,270
01-03-2023,Bihar,10,Arwal,611,567,652,123,75673,0,811,379,838,852,2135,40750,29505,7600,40669,81,77493,123,7494,8241,7752,30884,15638,7397,2081,3022,5,31,13043,12987
01-06-2023,Karnataka,29,Shivamogga,547,483,590,528,93144,0,2437,1838,2437,2440,4701,36234,40859,8740,34962,1272,95935,70,9830,8866,8277,35397,17290,8424,5929,8212,7,88,32399,32339
01-02-2023,Uttar Pradesh,9,Lalitpur,161,130,182,174,142978,0,1115,334,1126,1126,5265,58566,60548,957,58436,130,145128,137,2448,156,431,3108,229,73,8814,11935,7,41,60884,60768
01-05-2023,Rajasthan,8,Sawai Madhopur,113,152,202,368,91982,0,1077,696,1100,1117,4826,36195,48641,2385,34683,1512,105280,1926,6528,2070,3548,13850,3774,1704,6166,9452,6,38,7774,7766
01-05-2023,Nagaland,13,Wokha,250,9,9,31,90,0,243,6,358,358,139,2978,1476,27,2714,264,4780,3,565,47,81,712,66,19,89,98,5,15,0,0
01-03-2023,Chhattisgarh,22,Korea,384,143,321,323,57186,0,1149,0,1785,1793,315,30328,26475,0,30328,0,58651,43,2731,37,320,3088,37,0,427,1106,6,54,26,10
01-04-2023,Telangana,36,Nizamabad,516,1056,933,523,132649,0,1499,1361,1488,1500,7226,53731,55983,13887,52200,1531,135989,4618,6570,6638,4976,31540,19994,13356,8073,10976,5,59,52287,50293
01-06-2023,Puducherry,34,Karaikal,598,32,47,34,6162,0,172,163,170,172,362,1151,4631,534,1144,7,7320,21,311,280,187,1274,776,496,456,720,1,5,378,12
01-04-2023,Odisha,21,Kendujhar,361,938,832,1741,191706,0,3336,282,3343,3351,8649,93537,77241,506,92971,566,201339,1108,13992,42687,29397,86544,43155,468,8847,13065,14,123,15143,15011
01-06-2023,Uttar Pradesh,9,Kanpur Nagar,157,825,840,753,225395,0,2132,1873,1977,2134,12237,67137,111283,299,66314,823,226649,189,354,3,185,542,3,0,13192,22800,12,82,132426,132275
01-04-2023,Tripura,16,Unakoti,655,430,402,617,27638,0,644,191,657,658,1349,14864,11579,837,14650,214,31172,273,2202,5982,4335,13286,6749,767,1549,1831,6,33,7687,7357
01-04-2023,Uttar Pradesh,9,Moradabad,171,668,870,611,300721,0,2752,1400,2682,2770,16668,92047,147250,3051,90031,2016,302800,1230,4784,707,2096,7908,1028,321,19824,27011,9,151,145341,143534
01-05-2023,Rajasthan,8,Udaipur,117,491,772,1297,226216,0,3137,2683,3159,3175,11911,90349,110716,32042,88794,1555,246493,2433,16555,13783,15335,75633,43743,29960,14800,18717,15,123,51187,51081
01-02-2023,Bihar,10,Katihar,201,1937,1924,941,354053,0,3281,1382,3292,3399,12305,178560,136875,21278,177751,809,356973,354,34452,42142,27404,124515,62659,20517,13395,15838,16,120,39751,39329
01-06-2023,Arunachal Pradesh,12,Kurung Kumey,233,0,0,3,579,0,120,5,244,325,66,855,567,6,729,126,1576,0,306,75,91,478,81,6,47,41,6,7,6,2
01-06-2023,West Bengal,19,Birbhum,307,579,703,1471,390015,0,5133,4722,4713,5188,16461,174996,157930,126971,165441,9555,399140,6108,8375,19673,8972,161872,144525,124852,16802,32951,24,212,140618,120934
01-03-2023,Delhi,7,Shahdara,671,829,858,2,64097,0,874,866,808,874,4408,21027,32035,13728,20490,537,65912,89,1509,3577,1701,20737,17527,13950,4473,3969,7,33,38444,30252
01-07-2023,Uttar Pradesh,9,Ghaziabad,145,795,900,463,153335,0,1370,972,1314,0,8469,34465,85873,3302,33800,665,156161,84,8798,3893,6871,21855,6186,2293,9309,18045,5,52,62824,61470
01-02-2023,Madhya Pradesh,23,Ashoknagar,391,67,58,110,72559,0,965,247,1077,1089,1133,42545,33821,2355,42540,5,80597,580,11391,3407,7172,23860,5297,1890,1160,1938,5,37,133,122
